concept:name,lifecycle:transition,time:timestamp
Start,start,2011-06-15 00:06:32+00:00
Start,complete,2011-06-15 00:06:32+00:00
sleep,start,2011-06-15 00:06:32+00:00
sleep,complete,2011-06-15 03:38:29+00:00
toilet,start,2011-06-15 03:38:44+00:00
toilet,complete,2011-06-15 03:41:22+00:00
sleep,start,2011-06-15 03:41:31+00:00
sleep,complete,2011-06-15 08:46:23+00:00
toilet,start,2011-06-15 08:46:36+00:00
toilet,complete,2011-06-15 08:49:39+00:00
dress,start,2011-06-15 08:51:15+00:00
dress,complete,2011-06-15 08:52:27+00:00
sleep,start,2011-06-15 08:54:15+00:00
sleep,complete,2011-06-15 09:48:31+00:00
toilet,start,2011-06-15 09:48:54+00:00
toilet,complete,2011-06-15 09:55:42+00:00
mealpreperation,start,2011-06-15 09:58:39+00:00
mealpreperation,complete,2011-06-15 10:02:51+00:00
eatingdrinking,start,2011-06-15 10:02:55+00:00
eatingdrinking,complete,2011-06-15 10:26:50+00:00
cleaning,start,2011-06-15 10:26:55+00:00
cleaning,complete,2011-06-15 10:28:58+00:00
relax,start,2011-06-15 10:29:17+00:00
relax,complete,2011-06-15 12:09:05+00:00
personalhygiene,start,2011-06-15 12:09:27+00:00
personalhygiene,complete,2011-06-15 12:14:16+00:00
work,start,2011-06-15 12:14:20+00:00
work,complete,2011-06-15 12:40:35+00:00
bathe,start,2011-06-15 12:40:37+00:00
bathe,complete,2011-06-15 12:52:01+00:00
groom,start,2011-06-15 12:52:36+00:00
groom,complete,2011-06-15 12:58:45+00:00
toilet,start,2011-06-15 12:59:26+00:00
toilet,complete,2011-06-15 13:01:16+00:00
mealpreperation,start,2011-06-15 13:01:40+00:00
mealpreperation,complete,2011-06-15 13:13:04+00:00
eatingdrinking,start,2011-06-15 13:13:07+00:00
eatingdrinking,complete,2011-06-15 13:36:31+00:00
cleaning,start,2011-06-15 13:36:32+00:00
cleaning,complete,2011-06-15 13:39:58+00:00
read,start,2011-06-15 13:42:39+00:00
read,complete,2011-06-15 15:19:35+00:00
relax,start,2011-06-15 15:21:14+00:00
relax,complete,2011-06-15 16:04:34+00:00
toilet,start,2011-06-15 16:05:37+00:00
toilet,complete,2011-06-15 16:07:54+00:00
personalhygiene,start,2011-06-15 16:08:12+00:00
personalhygiene,complete,2011-06-15 16:17:41+00:00
snack,start,2011-06-15 16:19:13+00:00
snack,complete,2011-06-15 16:22:54+00:00
personalhygiene,start,2011-06-15 16:45:43+00:00
personalhygiene,complete,2011-06-15 17:26:55+00:00
watchtv,start,2011-06-15 17:28:59+00:00
watchtv,complete,2011-06-15 17:43:02+00:00
outdoors,start,2011-06-15 17:43:04+00:00
outdoors,complete,2011-06-15 17:51:35+00:00
mealpreperation,start,2011-06-15 17:55:11+00:00
mealpreperation,complete,2011-06-15 18:14:48+00:00
eatingdrinking,start,2011-06-15 18:14:53+00:00
eatingdrinking,complete,2011-06-15 18:21:49+00:00
relax,start,2011-06-15 18:22:02+00:00
relax,complete,2011-06-15 18:45:51+00:00
cleaning,start,2011-06-15 18:46:16+00:00
cleaning,complete,2011-06-15 18:47:33+00:00
personalhygiene,start,2011-06-15 18:58:56+00:00
personalhygiene,complete,2011-06-15 19:10:13+00:00
outdoors,start,2011-06-15 19:12:23+00:00
outdoors,complete,2011-06-15 20:41:25+00:00
snack,start,2011-06-15 21:05:10+00:00
snack,complete,2011-06-15 21:09:43+00:00
relax,start,2011-06-15 21:10:09+00:00
relax,complete,2011-06-15 21:43:01+00:00
cleaning,start,2011-06-15 21:43:21+00:00
cleaning,complete,2011-06-15 21:48:12+00:00
relax,start,2011-06-15 21:48:29+00:00
relax,complete,2011-06-15 22:42:55+00:00
personalhygiene,start,2011-06-15 22:54:04+00:00
personalhygiene,complete,2011-06-15 23:19:40+00:00
sleep,start,2011-06-15 23:20:09+00:00
sleep,complete,2011-06-16 07:00:40+00:00
End,start,2011-06-16 07:00:40+00:00
End,complete,2011-06-16 07:00:40+00:00
Start,start,2011-06-16 07:00:53+00:00
Start,complete,2011-06-16 07:00:53+00:00
toilet,start,2011-06-16 07:00:53+00:00
toilet,complete,2011-06-16 07:05:10+00:00
sleep,start,2011-06-16 07:07:03+00:00
sleep,complete,2011-06-16 08:01:44+00:00
snack,start,2011-06-16 08:02:39+00:00
snack,complete,2011-06-16 08:04:19+00:00
relax,start,2011-06-16 08:04:21+00:00
relax,complete,2011-06-16 08:23:55+00:00
mealpreperation,start,2011-06-16 08:23:56+00:00
mealpreperation,complete,2011-06-16 08:27:06+00:00
bathe,start,2011-06-16 08:29:58+00:00
bathe,complete,2011-06-16 08:49:27+00:00
dress,start,2011-06-16 08:49:30+00:00
dress,complete,2011-06-16 08:53:48+00:00
personalhygiene,start,2011-06-16 08:56:28+00:00
personalhygiene,complete,2011-06-16 09:19:46+00:00
outdoors,start,2011-06-16 09:26:20+00:00
outdoors,complete,2011-06-16 12:54:04+00:00
snack,start,2011-06-16 12:56:42+00:00
snack,complete,2011-06-16 13:00:18+00:00
mealpreperation,start,2011-06-16 13:04:01+00:00
mealpreperation,complete,2011-06-16 13:09:52+00:00
eatingdrinking,start,2011-06-16 13:09:53+00:00
eatingdrinking,complete,2011-06-16 13:26:21+00:00
cleaning,start,2011-06-16 13:26:22+00:00
cleaning,complete,2011-06-16 13:27:05+00:00
work,start,2011-06-16 13:36:00+00:00
work,complete,2011-06-16 13:42:24+00:00
sleep,start,2011-06-16 13:44:57+00:00
sleep,complete,2011-06-16 14:45:17+00:00
toilet,start,2011-06-16 14:45:32+00:00
toilet,complete,2011-06-16 14:51:42+00:00
outdoors,start,2011-06-16 14:56:41+00:00
outdoors,complete,2011-06-16 16:13:22+00:00
work,start,2011-06-16 16:13:29+00:00
